participant.id_in_session,participant.code,trial,opponent,nBlueOn8,firstChoice,botChoice,secondChoice,finalDraw,right,payoff
1,3ub2an9s,1,Algorithm,7,1,2,1,Blue,1,0
1,3ub2an9s,10,Other Player,2,4,1,4,Blue,0,0
1,3ub2an9s,100,Other Player,5,2,4,2,Blue,1,0
1,3ub2an9s,101,Algorithm,7,1,1,1,Red,0,0
1,3ub2an9s,102,Other Player,2,3,4,3,Red,1,0
1,3ub2an9s,103,Other Player,4,2,3,2,Blue,1,0
1,3ub2an9s,104,Other Player,7,1,1,1,Blue,1,0
1,3ub2an9s,105,Other Player,4,2,1,2,Blue,1,0
1,3ub2an9s,106,Algorithm,6,2,2,2,Red,0,0
1,3ub2an9s,107,Other Player,4,2,4,2,Red,0,0
1,3ub2an9s,108,Algorithm,4,3,4,3,Blue,0,0
1,3ub2an9s,109,Other Player,7,1,4,1,Red,0,0
1,3ub2an9s,11,Algorithm,1,4,1,4,Red,1,0
1,3ub2an9s,110,Algorithm,1,4,3,4,Red,1,0
1,3ub2an9s,111,Other Player,1,4,3,4,Blue,0,0
1,3ub2an9s,112,Other Player,3,3,3,3,Red,1,0
1,3ub2an9s,12,Algorithm,3,3,3,3,Red,1,0
1,3ub2an9s,13,Algorithm,2,3,2,3,Red,1,0
1,3ub2an9s,14,Algorithm,4,2,1,2,Red,0,0
1,3ub2an9s,15,Other Player,3,3,2,3,Blue,0,0
1,3ub2an9s,16,Algorithm,3,3,1,3,Blue,0,0
1,3ub2an9s,17,Algorithm,3,3,4,3,Blue,0,0
1,3ub2an9s,18,Algorithm,7,2,4,2,Red,0,0
1,3ub2an9s,19,Algorithm,6,2,4,2,Red,0,0
1,3ub2an9s,2,Other Player,3,3,4,3,Red,1,0
1,3ub2an9s,20,Algorithm,1,3,4,3,Blue,0,0
1,3ub2an9s,21,Algorithm,5,2,4,2,Blue,1,0
1,3ub2an9s,22,Algorithm,5,2,1,2,Blue,1,0
1,3ub2an9s,23,Algorithm,7,1,3,1,Blue,1,0
1,3ub2an9s,24,Other Player,6,2,1,2,Blue,1,0
1,3ub2an9s,25,Other Player,1,4,1,4,Blue,0,0
1,3ub2an9s,26,Other Player,7,2,4,2,Red,0,0
1,3ub2an9s,27,Algorithm,7,2,4,2,Red,0,0
1,3ub2an9s,28,Algorithm,6,2,3,2,Red,0,0
1,3ub2an9s,29,Algorithm,7,1,1,1,Red,0,0
1,3ub2an9s,3,Other Player,6,1,2,1,Red,0,0
1,3ub2an9s,30,Other Player,5,2,4,2,Red,0,0
1,3ub2an9s,31,Algorithm,1,4,2,4,Red,1,0
1,3ub2an9s,32,Other Player,2,3,2,3,Red,1,0
1,3ub2an9s,33,Other Player,3,3,4,3,Blue,0,0
1,3ub2an9s,34,Algorithm,2,4,4,4,Blue,0,0
1,3ub2an9s,35,Other Player,4,2,1,2,Red,0,0
1,3ub2an9s,36,Algorithm,1,4,3,4,Blue,0,0
1,3ub2an9s,37,Algorithm,3,3,4,3,Red,1,0
1,3ub2an9s,38,Other Player,1,4,3,4,Red,1,0
1,3ub2an9s,39,Algorithm,4,2,4,2,Red,0,0
1,3ub2an9s,4,Algorithm,3,3,2,3,Red,1,0
1,3ub2an9s,40,Other Player,6,2,3,2,Blue,1,0
1,3ub2an9s,41,Other Player,2,3,2,3,Red,1,0
1,3ub2an9s,42,Other Player,5,2,3,2,Red,0,0
1,3ub2an9s,43,Algorithm,2,3,3,3,Blue,0,0
1,3ub2an9s,44,Other Player,5,1,2,1,Blue,1,0
1,3ub2an9s,45,Algorithm,2,3,1,3,Blue,0,0
1,3ub2an9s,46,Algorithm,5,2,3,2,Blue,1,0
1,3ub2an9s,47,Algorithm,6,2,3,2,Red,0,0
1,3ub2an9s,48,Algorithm,6,2,1,2,Red,0,0
1,3ub2an9s,49,Other Player,2,3,1,3,Red,1,0
1,3ub2an9s,5,Algorithm,3,4,1,4,Red,1,0
1,3ub2an9s,50,Algorithm,4,2,1,2,Red,0,0
1,3ub2an9s,51,Other Player,1,4,4,4,Red,1,0
1,3ub2an9s,52,Algorithm,2,3,1,3,Red,1,0
1,3ub2an9s,53,Other Player,6,2,2,2,Blue,1,0
1,3ub2an9s,54,Other Player,1,4,4,4,Blue,0,0
1,3ub2an9s,55,Other Player,1,4,1,4,Blue,0,0
1,3ub2an9s,56,Other Player,3,3,1,3,Blue,0,0
1,3ub2an9s,57,Algorithm,6,2,1,2,Red,0,0
1,3ub2an9s,58,Algorithm,4,3,3,3,Red,1,0
1,3ub2an9s,59,Other Player,7,1,2,1,Blue,1,0
1,3ub2an9s,6,Algorithm,6,1,4,1,Red,0,0
1,3ub2an9s,60,Other Player,2,3,4,3,Red,1,0
1,3ub2an9s,61,Algorithm,5,2,2,2,Red,0,0
1,3ub2an9s,62,Other Player,7,1,3,1,Red,0,0
1,3ub2an9s,63,Algorithm,3,3,3,3,Red,1,0
1,3ub2an9s,64,Other Player,3,3,1,3,Red,1,0
1,3ub2an9s,65,Other Player,4,2,2,2,Blue,1,0
1,3ub2an9s,66,Other Player,5,2,1,2,Red,0,0
1,3ub2an9s,67,Algorithm,2,2,2,2,Red,0,0
1,3ub2an9s,68,Algorithm,4,2,3,2,Red,0,0
